row_type,id,type,source,target
node,Teaching AI with games: the impact of generative AI drawing on computational thinking skills,core,,
node,A Science Learning Environment using a Computational Thinking Approach,core,,
node,Effects of Scratch-based activities on 4th-grade students’ computational thinking skills,core,,
node,Competitive programming in computational thinking and problem solving education,core,,
node,Integrating Computational Thinking with a Music Education Context,core,,
node,Towards a Generalized Assessment of Computational Thinking for Introductory Physics Students,core,,
node,Impact of the Plugged-in and Unplugged Chemistry Computational Thinking Modules on Achievement in Chemistry,core,,
node,"Computational Thinking -Forces Shaping Curriculum and Policy in Finland, Sweden and the Baltic Countries",core,,
node,Measuring student computational thinking in engineering and mathematics: Development and validation of a non-programming assessment,core,,
node,Teaching computational thinking with a tangible development platform: An exploratory field study at school with Kniwwelino,core,,
node,Preschoolers' Embodied and Shared Self-Regulation Through Computational Thinking,core,,
node,Thinking Thru Making: Mapping Computational Thinking Practices onto Scientific Reasoning,core,,
node,A Model for Developing Computational Thinking Skills,core,,
node,Mapping the Evolution of Computational Thinking in Education: A Bibliometrics Analysis of Scopus Database from 1987 to 2023,core,,
node,Critical thinking skills of Chemistry students by integrating design thinking with STEAM-PjBL,core,,
node,Co-design Pedagogy for Computational Thinking Education in K-12: A Systematic Literature Review,core,,
node,Exploring the Effectiveness of STEAM Integrated Approach via Scratch on Computational Thinking,core,,
node,Relationships between computational thinking and the quality of computer programs,core,,
node,Assessment of Eighth Grade Students' Domain-General Computational Thinking Skills,core,,
node,Computational thinking tools for early years education: a design study,core,,
node,A Cross-Sectional Study Investigating Primary School Children’s Coding Practices and Computational Thinking Using ScratchJr,core,,
node,A Longitudinal Examination of Students: Computational Thinking in an After-School Computing Program,core,,
node,"Representations of Computational Thinking in Policy Documents in an Educational Context: The Cases of Denmark, Finland, and Norway",core,,
node,Using Card Sorting Activity as a Strategy for Evaluating Students’ Learning of Computational Thinking Concepts,core,,
node,Exploring Computational Thinking Skills Training Through Augmented Reality and AIoT Learning,core,,
node,Development of a computational thinking assessment tool for lower secondary students in Malaysia,core,,
node,First-graders' Computational Thinking in Informal Learning Settings (Work in Progress),core,,
node,Finnish teachers’ and students’ programming motivation and their role in teaching and learning computational thinking,core,,
node,Introduction to Computational Thinking: a new high school curriculum using CodeWorld,core,,
node,Multi-ethnic computational thinking and cultural respect in unmanned aerial vehicle-assisted culturally responsive teaching,core,,
node,"The concept of pH and its logarithmic scale: A Micro Bit experience through inquiry, modeling, and computational thinking",core,,
node,Assessing Young Children's Computational Thinking Using Cognitive Diagnostic Modeling,core,,
node,"CURRICULAR INTEGRATION OF COMPUTATIONAL THINKING, PROGRAMMING AND ROBOTICS IN BASIC EDUCATION: A PROPOSAL FOR TEACHER TRAINING",core,,
node,A Strategy of Learning Computational Thinking through Game Based in Virtual Reality: Systematic Review and Conceptual Framework,core,,
node,Computational thinking beyond coding: exploring student computational practices while playing and modifying a socio-scientific simulation game with integrated computational tools,core,,
node,Computational Thinking Practices at Play in an Early Childhood Microworld,core,,
node,How Computers Work: Computational Thinking for Everyone,core,,
node,Redefining computational thinking: A holistic framework and its implications for K-12 education,core,,
node,Semantic Analyses of Open-Ended Responses From Professional Development Workshop Promoting Computational Thinking in Rural Schools,core,,
node,On the computational thinking and diagrammatic reasoning of first-year computer science and engineering students,core,,
node,The Effect of Algorithm Education on Students’ Computer Programming Self-Efficacy Perceptions and Computational Thinking Skills,core,,
node,Using a Visual-Based Coding Platform to Assess Computational Thinking Skills in Introductory Physics,core,,
node,Research on the Impacts of Cognitive Style and Computational Thinking on College Students in a Visual Artificial Intelligence Course,core,,
node,Networking the theoretical constructs of computational thinking and techno-mathematical fluency through a geometrical task,core,,
node,Computational Thinking … and Doing,core,,
node,Optimizing Assessment of Knowledge Transfer Through Computational Thinking: An L&D Project,core,,
node,Employing a Think-Aloud Approach to Assess Young Learners' Computational Thinking,core,,
node,Correction to: Computational Thinking Integration into Science Classrooms: Example of Digestive System,core,,
node,Computational Thinking through Modular Sound Synthesis,core,,
node,Creative programming in architecture: a computational thinking approach,core,,
node,Effects of the Problem-Oriented Learning Model on Middle School Students’ Computational Thinking Skills in a Python Course,core,,
node,Effect of an OwlSpace Programming Course on the Computational Thinking of Elementary School Students,core,,
node,Mapping computational thinking mindsets between educational levels with cognitive network science,core,,
node,"Frontiers Editorial O ce, Frontiers Media SA, Switzerland *CORRESPONDENCE",core,,
node,Lesson Planning by Computational Thinking Skills in Italian Pre-service Teachers,core,,
node,Computational thinking in primary mathematics classroom activities,core,,
node,Student Motivation in Unplugged Computational Thinking Activities in Upper Secondary Science Education,core,,
node,Perceptions of Primary School Teachers on Interdisciplinary Computational Thinking Skills Training,core,,
node,Computational thinking in compulsory education: Towards an agenda for research and practice,core,,
node,A Place for Art and Design Education in the STEM Conversation,external,,
node,Assessing narrative comprehension in young children,external,,
node,Neurodiversity as a competitive advantage,external,,
node,Investigation of the Studies on the Use of Scratch Software in Education,external,,
node,Author index,external,,
node,Using the contextual model of learning to understand visitor learning from a science center exhibition,external,,
node,Executable cell biology,external,,
node,Clifford Geometric Algebras in Multilinear Algebra and Non-Euclidean Geometries,external,,
node,TECHNOLOGICAL PEDAGOGICAL CONTENT KNOWLEDGE OF UNIVERSITY PROFESSORS WHO ADOPTED AN ONLINE AUTHORING TOOL IN THEIR EDUCATIONAL PRACTICES - A Case Study of blended Learning Experiences in Health Science Education,external,,
node,Investigating the role of computer‐supported annotation in problem‐solving‐based teaching: An empirical study of a <scp>S</scp>cratch programming pedagogy,external,,
node,"Defining, Designing, and Documenting Computational Thinking Across K-12 Education",external,,
node,Making and tinkering: a review of the literature,external,,
node,Investigating Preschool Educators’ Implementation of Computer Programming in Their Teaching Practice,external,,
node,"Supplementary file 5: .disruption scores, conditional scores and prediction assessments.",external,,
node,Hi-Lo tech games,external,,
node,Measuring the impact of computational thinking workshops on high school teachers,external,,
node,The UNIX time-sharing system,external,,
node,Evidence-Based Software Engineering and Systematic Reviews,external,,
node,A study of children's understanding of electricity in simple DC circuits,external,,
node,CodeSpells,external,,
node,Situative constructionism,external,,
node,A Generalized Logistic Regression Procedure to Detect Differential Item Functioning Among Multiple Groups,external,,
node,Reconceptualizing games for integrating computational thinking and science as practice: collaborative agent-based disciplinarily-integrated games,external,,
node,Preparing tomorrow's faculty to address challenges in teaching computer science,external,,
node,2015 Revised Curriculum Development of Elementary Social Studies Veterans Education Status and Learning-Related Activity Program,external,,
node,Application of mathematical modeling in forecasting the spread of infection,external,,
node,Exploring the Relationship among Motivational Constructs and Preservice Teachers’ Use of Computational Thinking in Classrooms,external,,
node,A Web Prototype to Teach Music and Computational Thinking Through Building Blocks,external,,
node,Chapter 10 Frame semantics,external,,
node,The Construct of Content Validity,external,,
node,A cooperative learning strategy to com putational thinking development,external,,
node,ASEAN 4.0:,external,,
node,Green energy adoption and its determinants: A bibliometric analysis,external,,
node,Engaging students in scientific practices: What does constructing and revising models look like in the classroom? Understanding a framework for K-12 science education,external,,
node,A Work in Progress Paper,external,,
node,Integrating Computing and Computational Thinking into K-12 STEM Learning,external,,
node,"Computational Thinking, Code Complexity, and Prior Experience in a Videogame-Building Assignment",external,,
node,Understanding African-American Students’ Problem-Solving Ability in the Precalculus and Advanced Placement Computer Science Classroom,external,,
node,"Handbook in Research and Evaluation: A Collection of Principles, Methods, and Strategies Useful in the Planning, Design, and Evaluation of Studies in Education and the Behavioral Sciences",external,,
node,The role of perceived user-interface design in continued usage intention of self-paced e-learning tools,external,,
node,Comparison of Classical Test Theory and Item Response Theory in Individual Change Assessment,external,,
node,Metarepresentation: Native Competence and Targets for Instruction,external,,
node,The Study on Features of Computational Thinking and Its Common Operation Mode Methods,external,,
node,"Computational Thinking, Between Papert and Wing",external,,
node,"Digital story design activities used for teaching programming effect on learning of programming concepts, programming selfefficacy, and participation and analysis of student experiences",external,,
node,Computing education in children's early years: A call for debate,external,,
node,"DigComp 2.1: The Digital competence framework for citizens with eight proficiency levels and examples of use, EUR 28558 EN, Publications office of the european union",external,,
node,The Relationship between Multiple Choice and Essay Response Questions in Assessing Economics Understanding,external,,
node,Benefits and Challenges of Applying Computational Thinking in Education,external,,
