source,target,weight
BlocklyScript_Design_and_Pilot_Evaluation_of_an_RPG_Platform_Game_for_Cultivating_Computational_Thin.pdf,“Hour of Code”: Can It Change Students’ Attitudes toward Programming?,2
Co-design_Pedagogy_for_Computational_Thinking_Education_in_K-12_A_Systematic_Literature_Review.pdf,A systematic review of teaching and learning machine learning in K-12 education,2
Co-designing_to_develop_computational_thinking_skills_in_Nigeria_K-12_using_scratch.pdf,Computational thinking,2
Combined_Effects_of_Block-Based_Programming_and_Physical_Computing_on_Primary_Students_Computational.pdf,Adapting an OER Textbook for the Inverted Classroom Model — How To Flip the Classroom with BBC micro:bit Example Tasks,2
Combined_Effects_of_Block-Based_Programming_and_Physical_Computing_on_Primary_Students_Computational.pdf,Combining Assessment Tools for a Comprehensive Evaluation of Computational Thinking Interventions,2
Communicating_about_computational_thinking_understanding_affordances_of_portfolios_for_assessing_hig.pdf,Putting Making into High School Computer Science Classrooms: Promoting Equity in Teaching and Learning with Electronic Textiles in<i>Exploring Computer Science</i>,2
Comparing_the_psychometric_properties_of_two_primary_school_Computational_Thinking_CT_assessments_fo.pdf,Assessing Reliability and Stability in Panel Models,2
Competitive_programming_in_computational_thinking_and_problem_solving_education.pdf,Table 2: Categorisation of search results from the Web of Science database (accessed 30 July 2022).,2
Computational_Thinking_A_Disciplinary_Perspective.pdf,Computational thinking,2
Computational_thinking_and_repetition_patterns_in_early_childhood_education_Longitudinal_analysis_of.pdf,Tareas y habilidades para hacer patrones de repetición en libros de texto de educación infantil,2
Computational_Thinking_from_a_Disciplinary_Perspective_Integrating_Computational_Thinking_in_K-12_Sc.pdf,"Accelerating K-12 computational thinking using scaffolding, staging, and abstraction",2
Computational_Thinking_in_Elementary_and_Secondary_Teacher_Education.pdf,Computational thinking,2
Computational_Thinking_Integration_Patterns_Along_the_Framework_Defining_Computational_Thinking_from.pdf,Application of the Occupational Analysis of Computational Thinking-Enabled STEM Professionals as a Program Assessment Tool,2
Computer_Science_Teachers_Perceptions_Beliefs_and_Attitudes_on_Computational_Thinking_in_Greece.pdf,Computational thinking,2
CURRICULAR_INTEGRATION_OF_COMPUTATIONAL_THINKING_PROGRAMMING_AND_ROBOTICS_IN_BASIC_EDUCATION_A_PROPO.pdf,"Communication from the Commission to the Council, The European Parliament, The Economic and Social Committee and the Committee of Regions",2
CURRICULAR_INTEGRATION_OF_COMPUTATIONAL_THINKING_PROGRAMMING_AND_ROBOTICS_IN_BASIC_EDUCATION_A_PROPO.pdf,Lifelong Kindergarten,2
Data_from_Mapping_the_Evolution_of_Computational_Thinking_in_Education_A_Bibliometrics_Analysis_of_S.pdf,Fermented rice-bran by Saccharomyces cerevisiae: Nutritious ingredient in the formulation of gluten-free cookies,2
Data_from_Mapping_the_Evolution_of_Computational_Thinking_in_Education_A_Bibliometrics_Analysis_of_S.pdf,A unified approach to mapping and clustering of bibliometric networks,2
Design_development_and_evaluation_of_a_virtual_reality_game-based_application_to_support_computation.pdf,Identifying potential design features of a smart learning environment for programming education in Nigeria,2
Developing_a_pedagogical_evaluation_framework_for_computational_thinking_supporting_technologies_and.pdf,Examining theoretical and pedagogical foundations of computational thinking in the context of higher education,2
Developing_Teaching_Practice_in_Computational_Thinking_in_Palestine.pdf,Computational thinking,2
Difficult_Concepts_and_Practices_of_Computational_Thinking_Using_Block-based_Programming.pdf,The age of digital interdependence,2
Difficult_Concepts_and_Practices_of_Computational_Thinking_Using_Block-based_Programming.pdf,Combining Assessment Tools for a Comprehensive Evaluation of Computational Thinking Interventions,2
Do_we_really_need_computational_thinking.pdf,Peer assessment nell’insegnamento di Informatica del Corso di Laurea in Medicina e Chirurgia dell’Università di Firenze,2
Editorial_Looking_ahead_computational_thinking_in_K12_education.pdf,Computational thinking,2
Effect_of_an_OwlSpace_Programming_Course_on_the_Computational_Thinking_of_Elementary_School_Students.pdf,A Scoping Review of Empirical Research on Recent Computational Thinking Assessments,2
Effects_of_augmented_reality_application_integration_with_computational_thinking_in_geometry_topics.pdf,Penggunaan Geogebra Dalam Pembelajaran Matematik Melalui Pembelajaran Modular,2
Effects_of_Scratch-based_activities_on_4th-grade_students_computational_thinking_skills.pdf,Computational thinking,2
Effects_of_Scratch-based_activities_on_4th-grade_students_computational_thinking_skills.pdf,Which cognitive abilities underlie computational thinking? Criterion validity of the Computational Thinking Test,2
Empowering_Students_Computational_Thinking_through_Robotics-enabled_STEM_Education.pdf,Computational thinking,2
Exploring_Potentials_and_Challenges_to_Develop_Twenty-First_Century_Skills_and_Computational_Thinkin.pdf,Computational thinking,2
Exploring_the_Effectiveness_of_STEAM_Integrated_Approach_via_Scratch_on_Computational_Thinking.pdf,Computational thinking,2
Finnish_teachers_and_students_programming_motivation_and_their_role_in_teaching_and_learning_computa.pdf,Programming in primary education,2
Formation_of_Computational_Thinking_Skills_Using_Computer_Games_in_Teaching_Mathematics.pdf,nan,2
Fostering_preservice_teachers_expectancies_and_values_towards_computational_thinking.pdf,Bringing computational thinking to K-12,2
Fostering_preservice_teachers_expectancies_and_values_towards_computational_thinking.pdf,Computational thinking,2
Grades_712_teachers_perception_of_computational_thinking_for_mathematics_and_technology.pdf,An Overview of Computational Thinking,2
Grades_712_teachers_perception_of_computational_thinking_for_mathematics_and_technology.pdf,Qualitative Content Analysis,2
Grades_712_teachers_perception_of_computational_thinking_for_mathematics_and_technology.pdf,Introducing programming and digital competence in Swedish K-9 education,2
Grades_712_teachers_perception_of_computational_thinking_for_mathematics_and_technology.pdf,TEACHER CHALLENGES AND CHOICE OF PROGRAMMING TOOLS FOR TEACHING K-12 TECHNOLOGY AND MATHEMATICS,2
Grades_712_teachers_perception_of_computational_thinking_for_mathematics_and_technology.pdf,Computational thinking and thinking about computing,2
Grades_712_teachers_perception_of_computational_thinking_for_mathematics_and_technology.pdf,Introducing computational thinking in education courses,2
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Teachers’ Ontological Perspectives of Computational Thinking and Assessment: A Text Mining Approach,2
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Beyond Programming: A Computer-Based Assessment of Computational Thinking Competency,2
How_Multidimensional_is_Computational_Thinking_Competency_A_Bi-Factor_Model_of_the_Computational_Thi.pdf,Combining Assessment Tools for a Comprehensive Evaluation of Computational Thinking Interventions,2
Impact_of_the_Plugged-in_and_Unplugged_Chemistry_Computational_Thinking_Modules_on_Achievement_in_Ch.pdf,Computational thinking,2
Including_neurodiversity_in_computational_thinking.pdf,Assessing implicit science learning in digital games,2
Integrating_the_Constructionist_Learning_Theory_with_Computational_Thinking_Classroom_Activities.pdf,"Abstraction in action: K-5 teachers' uses of levels of abstraction, particularly the design level, in teaching programming.",2
Introducing_Computational_Thinking_in_Calculus_for_Engineering.pdf,Informatics Education in Europe: Are We All In The Same Boat?,2
Investigating_the_effects_of_gender_and_scaffolding_in_developing_preschool_childrens_computational_.pdf,Tangible interaction and learning: the case for a hybrid approach,2
Investigation_of_Computational_Thinking_in_the_Context_of_ICT_and_Mobile_Technologies.pdf,Computational thinking,2
Lesson_Planning_by_Computational_Thinking_Skills_in_Italian_Pre-service_Teachers.pdf,Designing an educational music software using a student-centred strategy,2
Lesson_Planning_by_Computational_Thinking_Skills_in_Italian_Pre-service_Teachers.pdf,Motivating the learning of science topics in secondary school: A constructivist edutainment setting for studying Chaos,2
Lesson_Planning_by_Computational_Thinking_Skills_in_Italian_Pre-service_Teachers.pdf,Computational thinking,2
Lesson_Planning_by_Computational_Thinking_Skills_in_Italian_Pre-service_Teachers.pdf,Measuring computational thinking in middle school using game programming,2
Lesson_Planning_by_Computational_Thinking_Skills_in_Italian_Pre-service_Teachers.pdf,Elementary Education Pre-service Teachers' Development of Mathematics Technology Integration Skills in a Technology Integration Course,2
Lesson_Planning_by_Computational_Thinking_Skills_in_Italian_Pre-service_Teachers.pdf,Scalable game design: a strategy to bring systemic computer science education to schools through game design and simulation creation,2
Mapping_Computational_Thinking_and_Programming_Skills_Using_Technacy_Theory.pdf,Understanding Environmentally Conscious Behaviour Through Environmental Identity,2
Mapping_Computational_Thinking_and_Programming_Skills_Using_Technacy_Theory.pdf,Technacy Education: Understanding Cross-cultural Technological Practice,2
Mapping_computational_thinking_mindsets_between_educational_levels_with_cognitive_network_science.pdf,Forma mentis networks quantify crucial differences in STEM perception between students and experts,2
Mapping_computational_thinking_mindsets_between_educational_levels_with_cognitive_network_science.pdf,"A Review about Functional Illiteracy: Definition, Cognitive, Linguistic, and Numerical Aspects",2
Mapping_the_Evolution_of_Computational_Thinking_in_Education_A_Bibliometrics_Analysis_of_Scopus_Data.pdf,Fermented rice-bran by Saccharomyces cerevisiae: Nutritious ingredient in the formulation of gluten-free cookies,2
Mapping_the_Evolution_of_Computational_Thinking_in_Education_A_Bibliometrics_Analysis_of_Scopus_Data.pdf,A unified approach to mapping and clustering of bibliometric networks,2
Measuring_Awareness_of_Computational_Thinking_in_Kuwaiti_Educational_Institutions.pdf,"Howard, Moe",2
Measuring_Awareness_of_Computational_Thinking_in_Kuwaiti_Educational_Institutions.pdf,https://drive.google.com/file/d/1A0zd2AIP6ZsyLa1IHJgl72wCLH0lnolf/view?usp=sharing,2
Multi-ethnic_computational_thinking_and_cultural_respect_in_unmanned_aerial_vehicle-assisted_cultura.pdf,Computational thinking and thinking about computing,2
Pre-Service_Teacher_Training_Program_of_STEM-based_activities_in_Computing_Science_to_Develop_Comput.pdf,Computational thinking for youth in practice,2
Programming_Approaches_to_Computational_Thinking_Integrating_Turtle_Geometry_Dynamic_Manipulation_an.pdf,Computational thinking,2
Promoting_computational_thinking_of_both_sciences-_and_humanities-oriented_students_an_instructional.pdf,did not realize what was going on,2
Promoting_computational_thinking_of_both_sciences-_and_humanities-oriented_students_an_instructional.pdf,ONLY FEW PROGRESS MADE IN THE FIELD OF JUVENILE JUSTICE,2
Promoting_computational_thinking_of_both_sciences-_and_humanities-oriented_students_an_instructional.pdf,like the way the software implements the principle of progressive difficulty,2
Promoting_computational_thinking_of_both_sciences-_and_humanities-oriented_students_an_instructional.pdf,would like to repeat this task until I manage to perform it faultless,2
Prospective_Mathematics_and_Sciences_Teachers_Views_on_Coding_and_Computational_Thinking.pdf,Computational thinking,2
Rasch_Analysis_for_Disposition_Levels_of_Computational_Thinking_Instrument_Among_Secondary_School_St.pdf,Applying the Rasch model: Fundamental measurement in the human sciences,2
Rasch_Analysis_for_Disposition_Levels_of_Computational_Thinking_Instrument_Among_Secondary_School_St.pdf,Pengujian Psikometrik Item Kecerdasan Menghadapi Cabaran untuk Pelajar Lelaki Kejuruteraan Mekanikal Menggunakan Model Pengukuran Rasch (Psychometric Properties of an Adversity Quotient Items for Mechanical Engineering Male Students using Rasch Measurement Model),2
Relationships_between_middle_school_students_digital_literacy_skills_computer_programming_self-effic.pdf,The Effect Of Programming Teaching On Computational Thinking,2
Relationships_between_middle_school_students_digital_literacy_skills_computer_programming_self-effic.pdf,The relationship between secondary school students' attitudes towards coding and computational thinking skills,2
Relationships_between_middle_school_students_digital_literacy_skills_computer_programming_self-effic.pdf,"Development of computational thinking, digital competence and 21st century skills when learning programming in K-9",2
Research_trends_of_computational_thinking_in_mathematics_learning_A_bibliometric_analysis_from_2009_.pdf,“Start from scratch”: Integrating computational thinking skills in teacher education program,2
Research_trends_of_computational_thinking_in_mathematics_learning_A_bibliometric_analysis_from_2009_.pdf,Computational thinking in mathematics education: A systematic review,2
Review_on_pedagogical_practices_for_computational_thinking_in_teacher_education__Characterizing_an_e.pdf,Computational thinking,2
Review_on_pedagogical_practices_for_computational_thinking_in_teacher_education__Characterizing_an_e.pdf,Changes and Sources of Changes of Middle School Teachers’ Self-efficacy for Teaching Science in A Computationally Rich Environment: A Mixed-Methods Study,2
Robotics_and_computational_thinking_in_primary_school.pdf,Computational thinking and tinkering: Exploration of an early childhood robotics curriculum,2
Robotics_in_early_childhood_STEM_education_REC-STEMEd_The_impact_on_preservice_teachers_attitudes_an.pdf,The theory of planned behavior,2
Robotics_in_early_childhood_STEM_education_REC-STEMEd_The_impact_on_preservice_teachers_attitudes_an.pdf,Computational thinking,2
ScratchThAI_A_conversation-based_learning_support_framework_for_computational_thinking_development.pdf,AutoThinking: An Adaptive Computational Thinking Game,2
ScratchThAI_A_conversation-based_learning_support_framework_for_computational_thinking_development.pdf,7. Scaffolded Literacy Assessment and a Model for Teachers’ Professional Development,2
Semantic_Analyses_of_Open-Ended_Responses_From_Professional_Development_Workshop_Promoting_Computati.pdf,Thematic analysis,2
Setting_the_Foundation_for_Scientific_Inquiry_and_Computational_Thinking_in_Early_Childhood_using_Le.pdf,An Experience Report on Teaching Programming and Computational Thinking to Elementary Level Children Using Lego Robotics Education Kit,2
Setting_the_Foundation_for_Scientific_Inquiry_and_Computational_Thinking_in_Early_Childhood_using_Le.pdf,Computational thinking and tinkering: Exploration of an early childhood robotics curriculum,2
Snapshot_of_Computational_Thinking_in_Turkey_A_Critique_of_2019_Bebras_Challenge.pdf,Computational thinking,2
STEAM_Teacher_for_a_Day_A_Case_Study_of_Teachers_Perspectives_on_Computational_Thinking.pdf,On computational thinking as a universal skill: A review of the latest research on this ability,2
Teaching_programming_and_computational_thinking_in_early_childhood_education_a_case_study_of_content.pdf,Indonesia: Train journalists to write about reproductive health,2
The_Creation_of_Animated_Graphs_to_Develop_Computational_Thinking_and_Support_STEM_Education.pdf,Culture-Based Contextual Learning to Increase Problem-Solving Ability of First Year University Student,2
The_Effect_of_a_training_program_based_on_the_TAWOCK_model_for_teaching_computational_thinking_skill.pdf,High School teachers' self-efficacy in Teaching Computer Science,2
The_Effect_of_Gender_Grade_Time_and_Chronotype_on_Computational_Thinking_Longitudinal_Study.pdf,Advancing students' computational thinking skills through educational robotics: A study on age and gender relevant differences,2
The_Effect_of_Gender_Grade_Time_and_Chronotype_on_Computational_Thinking_Longitudinal_Study.pdf,Computational thinking,2
The_effect_on_computational_thinking_and_identified_learning_aspects_Comparing_unplugged_smartGames_.pdf,Computational thinking,2
The_Effects_of_Mind_Maps_on_Computational_Thinking.pdf,Concept Mapping for Digital Forensic Investigations,2
The_Impact_of_a_STEM_Inquiry_Game_Learning_Scenario_on_Computational_Thinking_and_Computer_Self-conf.pdf,Computational thinking,2
The_interdisciplinary_implementation_of_poly-universe_to_promote_computational_thinking_Teaching_exa.pdf,Poly-Universe in School Education,2
The_interdisciplinary_implementation_of_poly-universe_to_promote_computational_thinking_Teaching_exa.pdf,Discovering information visualization through Poly-Universe,2
The_relationship_between_Executive_Functions_and_Computational_Thinking.pdf,Executive function and metacognition: Towards a unifying framework of cognitive self-regulation,2
The_Relationship_Between_Learning_Spaces_and_the_Development_of_Computational_Thinking_Skill.pdf,The discovery of grounded theory; strategies for qualitative research,2
THE_ROLE_OF_GAME_JAMS_IN_DEVELOPING_INFORMAL_LEARNING_OF_COMPUTATIONAL_THINKING_A_CROSS-EUROPEAN_CAS.pdf,Game jam,2
THE_ROLE_OF_GAME_JAMS_IN_DEVELOPING_INFORMAL_LEARNING_OF_COMPUTATIONAL_THINKING_A_CROSS-EUROPEAN_CAS.pdf,Teachers’ Views on the Approach of Digital Games-Based Learning within the Curriculum for Excellence,2
Towards_a_Generalized_Assessment_of_Computational_Thinking_for_Introductory_Physics_Students.pdf,C2STEM: a System for Synergistic Learning of Physics and Computational Thinking,2
Using_Classroom_Practice_as_an_Object_to_Think_with_to_Develop_Preservice_Teachers_Understandings_of.pdf,Computational thinking,2
We_are_too_dumb_for_this_a_critical_discourse_analysis_of_stereotypical_attributions_to_struggle_wit.pdf,Identifying middle school students’ challenges in computational thinking-based science learning,2
We_are_too_dumb_for_this_a_critical_discourse_analysis_of_stereotypical_attributions_to_struggle_wit.pdf,Discourse analysis,2
What_Emotions_do_Pre-university_Students_Feel_when_Engaged_in_Computational_Thinking_Activities.pdf,Computer Usage: The Impact of Computer Anxiety and Computer Self-efficacy,2
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Pensamiento computacional en la resolución de problemas contextualizados en un cuento en Educación Infantil,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Computer science unplugged: School students doing real computing without computers,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,How Challenging are Bebras Tasks?,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Development of Computational Thinking Skills through Unplugged Activities in Primary School,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,American Educational Research Association 2012 Annual Meeting Call for Submissions,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Unplugged Approaches to Computational Thinking: a Historical Perspective,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Bebras Contest and Digital Competence Assessment,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,The role of feedback and guidance as intervention methods to foster computational thinking in educational robotics learning activities for primary school,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Chapter 2 Communities of Practice Theory and the Role of Teacher Professional Community in Policy Implementation,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Why normalized gain should continue to be used in analyzing preinstruction and postinstruction scores on concept inventories,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Short Tasks for Scaffolding Computational Thinking by the Global Bebras Challenge,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Bebras International Contest on Informatics and Computer Literacy: Criteria for Good Tasks,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Bebras - a Sustainable Community Building Model for the Concept Based Learning of Informatics and Computational Thinking,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,"Reasoning on Children’s Cognitive Skills in an Informatics Contest: Findings and Discoveries from Finland, Lithuania, and Sweden",1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Developing a Two-Dimensional Categorization System for Educational Tasks in Informatics,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,An Omnibus Test of Normality for Moderate and Large Size Samples,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,"Gamifying education: what is known, what is believed and what remains uncertain: a critical review",1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,The Competent Computational Thinking Test: Development and Validation of an Unplugged Computational Thinking Test for Upper Primary School,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Computational Thinking in K–12,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,"Systems of Assessments"" for deeper learning of computational thinking in K-12",1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Does Gamification Work? -- A Literature Review of Empirical Studies on Gamification,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,How to learn and how to teach computational thinking: Suggestions based on a review of the literature,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Investigating the Psychometric Structure of Bebras Contest: Towards Mesuring Computational Thinking Skills,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Elementary School Students' Level of Computational Thinking through Bebras Challenge 2017,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Education and Technology for a Better World,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,A Snapshot of the First Implementation of Bebras International Informatics Contest in Turkey,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Information and communication technologies in higher education: Comparison of stimulated motivation,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,The Effect of a Classroom-Based Intensive Robotics and Programming Workshop on Sequencing Ability in Early Childhood,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,A meta-analysis of the technology acceptance model,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,What is Technological Pedagogical Content Knowledge (TPACK)?,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Bebras-inspired Computational Thinking Primary School Resources Co-created by Computer Science Academics and Teachers,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Die Toolbox,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Developing a computational thinking test using Bebras problems. Proceedings of TACKLE: the 1st Systems of Assessments for Computational Thinking Learning,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Review on teaching and learning of computational thinking through programming: What is next for K-12?,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Between Level Up and Game Over: A Systematic Literature Review of Gamification in Education,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Digital game-based learning,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Toward More Generalizable CS and CT Instruments,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Which cognitive abilities underlie computational thinking? Criterion validity of the Computational Thinking Test,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Can computational talent be detected? Predictive validity of the Computational Thinking Test,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Combining Assessment Tools for a Comprehensive Evaluation of Computational Thinking Interventions,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,The Gamification of Learning: a Meta-analysis,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Capturing the complexity of gamification elements: a holistic approach for analysing existing and deriving novel gamification designs,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Computational thinking: the developing definition,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Consistency and validity in game-based stealth assessment,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Demystifying computational thinking,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Coding Strip: A Pedagogical Tool for Teaching and Learning Programming Concepts through Comics,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,The effects of interleaved practice,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Quick and easy implementation of the Benjamini-Hochberg procedure for controlling the false positive rate in multiple comparisons,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Pour une approche ergonomique de la conception d’un dispositif de formation à distance utilisant les TIC,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,A cognitive definition of computational thinking in primary education,1
A_Bebras_Computational_Thinking_ABC-Thinking_program_for_primary_school_Evaluation_using_the_compete.pdf,Unplugged Computing and Semantic Waves,1
