================================================================================
REMOVED WORDS - COMPLETE LIST
================================================================================

STEP 2: WORDS REMOVED AFTER MERGING
--------------------------------------------------------------------------------
Total removed: 825 unique words
Total frequency removed: 9,187

Rank     Word                                     Frequency   
227      mean                                     5           
228      ed                                       5           
229      creative                                 5           
230      universal                                4           
231      council                                  4           
232      break                                    4           
233      find                                     4           
234      ng                                       4           
235      interpret                                4           
236      conceptual                               4           
237      future                                   4           
238      any                                      4           
239      aho                                      4           
240      riddle                                   4           
241      point                                    4           
242      child                                    4           
243      therefore                                4           
244      flow                                     4           
245      although                                 4           
246      able                                     4           
247      multiple                                 4           
248      game                                     4           
249      same                                     4           
250      small                                    4           
251      because                                  4           
252      were                                     4           
253      curzon                                   4           
254      between                                  4           
255      current                                  4           
256      tedre                                    4           
257      com                                      4           
258      figure                                   4           
259      construct                                4           
260      dr                                       4           
261      where                                    3           
262      methodology                              3           
263      teacher                                  3           
264      seymour                                  3           
265      twenty                                   3           
266      rst                                      3           
267      face                                     3           
268      emphasis                                 3           
269      component                                3           
270      up                                       3           
271      word                                     3           
272      vpython                                  3           
273      non                                      3           
274      constant                                 3           
275      calculate                                3           
276      vector                                   3           
277      complete                                 3           
278      routine                                  3           
279      momentum                                 3           
280      low                                      3           
281      mass                                     3           
282      object                                   3           
283      middle                                   3           
284      confidence                               3           
285      without                                  3           
286      assistance                               3           
287      block                                    3           
288      laid                                     3           
289      known                                    3           
290      time                                     3           
291      vision                                   3           
292      provide                                  3           
293      type                                     3           
294      pro                                      3           
295      made                                     3           
296      add                                      3           
297      practice                                 3           
298      bers                                     3           
299      lee                                      3           
300      state                                    3           
301      error                                    3           
302      address                                  3           
303      his                                      3           
304      said                                     3           
305      kind                                     3           
306      solu                                     3           
307      area                                     3           
308      kalelioglu                               3           
309      tl                                       3           
310      pp                                       3           
311      secondary                                3           
312      refer                                    3           
313      er                                       3           
314      ing                                      3           
315      among                                    3           
316      competency                               3           
317      come                                     3           
318      case                                     3           
319      topic                                    3           
320      communication                            3           
321      upon                                     3           
322      elementary                               3           
323      software                                 3           
324      notion                                   3           
325      explore                                  3           
326      level                                    3           
327      stage                                    3           
328      paradigm                                 3           
329      sdgs                                     3           
330      function                                 3           
331      big                                      3           
332      facilitate                               3           
333      produce                                  3           
334      idea                                     3           
335      test                                     3           
336      issue                                    3           
337      generate                                 3           
338      professor                                3           
339      you                                      3           
340      reason                                   2           
341      standard                                 2           
342      anderson                                 2           
343      liu                                      2           
344      description                              2           
345      kafai                                    2           
346      youth                                    2           
347      haseski                                  2           
348      code                                     2           
349      measure                                  2           
350      over                                     2           
351      try                                      2           
352      propose                                  2           
353      highlight                                2           
354      perform                                  2           
355      allow                                    2           
356      tolerance                                2           
357      deal                                     2           
358      open                                     2           
359      achieve                                  2           
360      language                                 2           
361      place                                    2           
362      ii                                       2           
363      iii                                      2           
364      technique                                2           
365      act                                      2           
366      lack                                     2           
367      transform                                2           
368      good                                     2           
369      single                                   2           
370      processor                                2           
371      korkmaz                                  2           
372      six                                      2           
373      present                                  2           
374      sets                                     2           
375      taught                                   2           
376      effec                                    2           
377      field                                    2           
378      list                                     2           
379      symbol                                   2           
380      performance                              2           
381      before                                   2           
382      similar                                  2           
383      drawn                                    2           
384      march                                    2           
385      un                                       2           
386      pedaste                                  2           
387      komm                                     2           
388      teach                                    2           
389      assess                                   2           
390      tang                                     2           
391      adopt                                    2           
392      board                                    2           
393      mindset                                  2           
394      require                                  2           
395      re                                       2           
396      view                                     2           
397      table                                    2           
398      self                                     2           
399      online                                   2           
400      build                                    2           
401      structure                                2           
402      college                                  2           
403      il                                       2           
404      dell                                     2           
405      bocconi                                  2           
406      umbrella                                 2           
407      ective                                   2           
408      arise                                    2           
409      brought                                  2           
410      may                                      2           
411      lead                                     2           
412      grade                                    2           
413      acquire                                  2           
414      subsequent                               2           
415      account                                  2           
416      serve                                    2           
417      effect                                   2           
418      each                                     2           
419      course                                   2           
420      simple                                   2           
421      expense                                  2           
422      bear                                     2           
423      search                                   2           
424      structures                               2           
425      user                                     2           
426      fun                                      2           
427      context                                  2           
428      everyday                                 2           
429      talent                                   2           
430      even                                     2           
431      biology                                  2           
432      organize                                 2           
433      difficult                                2           
434      domain                                   2           
435      cas                                      2           
436      comp                                     2           
437      take                                     2           
438      step                                     2           
439      puter                                    2           
440      now                                      2           
441      nouri                                    2           
442      tsai                                     2           
443      foster                                   2           
444      sys                                      2           
445      two                                      2           
446      mcowan                                   2           
447      lot                                      2           
448      eg                                       2           
449      still                                    1           
450      eval                                     1           
451      uation                                   1           
452      argue                                    1           
453      ers                                      1           
454      stu                                      1           
455      nrc                                      1           
456      techni                                   1           
457      ques                                     1           
458      hybrid                                   1           
459      wang                                     1           
460      voskoglou                                1           
461      buckley                                  1           
462      follow                                   1           
463      original                                 1           
464      unambiguous                              1           
465      instruc                                  1           
466      vallance                                 1           
467      towndrow                                 1           
468      proctor                                  1           
469      combine                                  1           
470      took                                     1           
471      lic                                      1           
472      adequate                                 1           
473      socio                                    1           
474      feel                                     1           
475      likelihood                               1           
476      tendency                                 1           
477      am                                       1           
478      fourth                                   1           
479      fo                                       1           
480      feedback                                 1           
481      result                                   1           
482      processi                                 1           
483      somewhat                                 1           
484      mind                                     1           
485      here                                     1           
486      snap                                     1           
487      offshoot                                 1           
488      ibid                                     1           
489      dialogue                                 1           
490      trend                                    1           
491      centur                                   1           
492      strong                                   1           
493      excellent                                1           
494      quick                                    1           
495      team                                     1           
496      cooperate                                1           
497      labour                                   1           
498      se                                       1           
499      aggregate                                1           
500      interact                                 1           
501      theuse                                   1           
502      analyzingdata                            1           
503      breadth                                  1           
504      skillset                                 1           
505      play                                     1           
506      likert                                   1           
507      cronbach                                 1           
508      alpha                                    1           
509      ient                                     1           
510      item                                     1           
511      proble                                   1           
512      change                                   1           
513      ski                                      1           
514      lls                                      1           
515      curricula                                1           
516      much                                     1           
517      shape                                    1           
518      sengupta                                 1           
519      give                                     1           
520      agree                                    1           
521      sykora                                   1           
522      ring                                     1           
523      answer                                   1           
524      book                                     1           
525      li                                       1           
526      ttle                                     1           
527      earn                                     1           
528      share                                    1           
529      fundamentalto                            1           
530      journal                                  1           
531      machinery                                1           
532      gp                                       1           
533      target                                   1           
534      anxiety                                  1           
535      pair                                     1           
536      young                                    1           
537      prior                                    1           
538      primary                                  1           
539      romero                                   1           
540      rafiq                                    1           
541      part                                     1           
542      art                                      1           
543      enable                                   1           
544      either                                   1           
545      occur                                    1           
546      aim                                      1           
547      tion                                     1           
548      half                                     1           
549      ago                                      1           
550      cre                                      1           
551      ated                                     1           
552      increasing                               1           
553      endeavour                                1           
554      built                                    1           
555      app                                      1           
556      platform                                 1           
557      web                                      1           
558      subject                                  1           
559      concrete                                 1           
560      major                                    1           
561      relevant                                 1           
562      robust                                   1           
563      organization                             1           
564      accept                                   1           
565      workshop                                 1           
566      third                                    1           
567      product                                  1           
568      logo                                     1           
569      siamo                                    1           
570      anche                                    1           
571      convinti                                 1           
572      che                                      1           
573      prima                                    1           
574      approssimazione                          1           
575      significato                              1           
576      espressione                              1           
577      pensa                                    1           
578      possa                                    1           
579      essere                                   1           
580      sufficientemente                         1           
581      chiarito                                 1           
582      dalla                                    1           
583      spiegazione                              1           
584      competenze                               1           
585      mentali                                  1           
586      ottenute                                 1           
587      mediante                                 1           
588      lo                                       1           
589      studio                                   1           
590      la                                       1           
591      pratica                                  1           
592      araujo                                   1           
593      individual                               1           
594      evaluate                                 1           
595      fraillon                                 1           
596      rapid                                    1           
597      theoretical                              1           
598      put                                      1           
599      consider                                 1           
600      employ                                   1           
601      fagerlund                                1           
602      albeit                                   1           
603      mechanism                                1           
604      situation                                1           
605      back                                     1           
606      izing                                    1           
607      etc                                      1           
608      traini                                   1           
609      hu                                       1           
610      man                                      1           
611      lin                                      1           
612      ar                                       1           
613      main                                     1           
614      bati                                     1           
615      formu                                    1           
616      def                                      1           
617      educa                                    1           
618      center                                   1           
619      competence                               1           
620      activate                                 1           
621      memory                                   1           
622      articulate                               1           
623      hardware                                 1           
624      arrange                                  1           
625      convey                                   1           
626      newell                                   1           
627      accomplish                               1           
628      alone                                    1           
629      economic                                 1           
630      political                                1           
631      harmony                                  1           
632      globe                                    1           
633      discuss                                  1           
634      spite                                    1           
635      broad                                    1           
636      scope                                    1           
637      entail                                   1           
638      grand                                    1           
639      smith                                    1           
640      kellow                                   1           
641      park                                     1           
642      kwon                                     1           
643      andunderstandinghumanbehavior            1           
644      year                                     1           
645      yadav                                    1           
646      correspondence                           1           
647      capture                                  1           
648      strategy                                 1           
649      tc                                       1           
650      curriculum                               1           
651      already                                  1           
652      yet                                      1           
653      diverse                                  1           
654      sort                                     1           
655      range                                    1           
656      zapata                                   1           
657      elevate                                  1           
658      turn                                     1           
659      previous                                 1           
660      strand                                   1           
661      scratchjr                                1           
662      math                                     1           
663      appear                                   1           
664      vast                                     1           
665      amo                                      1           
666      hope                                     1           
667      elucidate                                1           
668      biolog                                   1           
669      sun                                      1           
670      asbell                                   1           
671      clarke                                   1           
672      whole                                    1           
673      obtain                                   1           
674      brain                                    1           
675      resolv                                   1           
676      insight                                  1           
677      explain                                  1           
678      someone                                  1           
679      formal                                   1           
680      succinct                                 1           
681      berland                                  1           
682      wilensky                                 1           
683      st                                       1           
684      content                                  1           
685      found                                    1           
686      great                                    1           
687      efficacy                                 1           
688      ya                                       1           
689      tal                                      1           
690      perhaps                                  1           
691      uman                                     1           
692      message                                  1           
693      curre                                    1           
694      nt                                       1           
695      shown                                    1           
696      uting                                    1           
697      theory                                   1           
698      action                                   1           
699      nsf                                      1           
700      project                                  1           
701      comple                                   1           
702      ach                                      1           
703      brainstorm                               1           
704      offer                                    1           
705      attempt                                  1           
706      cycle                                    1           
707      compete                                  1           
708      conduct                                  1           
709      thinki                                   1           
710      modern                                   1           
711      wave                                     1           
712      detail                                   1           
713      philosophy                               1           
714      box                                      1           
715      wichaya                                  1           
716      prob                                     1           
717      lem                                      1           
718      nine                                     1           
719      empower                                  1           
720      critique                                 1           
721      around                                   1           
722      childhood                                1           
723      standl                                   1           
724      pewkam                                   1           
725      chamrat                                  1           
726      bruke                                    1           
727      roadmap                                  1           
728      uction                                   1           
729      classroom                                1           
730      misse                                    1           
731      tech                                     1           
732      nology                                   1           
733      turhan                                   1           
734      peracaula                                1           
735      bosch                                    1           
736      wit                                      1           
737      dev                                      1           
738      ising                                    1           
739      certain                                  1           
740      perseverance                             1           
741      whereas                                  1           
742      zha                                      1           
743      ps                                       1           
744      chairman                                 1           
745      carnegie                                 1           
746      mellon                                   1           
747      popular                                  1           
748      begun                                    1           
749      correct                                  1           
750      pd                                       1           
751      if                                       1           
752      age                                      1           
753      behind                                   1           
754      assessment                               1           
755      entry                                    1           
756      java                                     1           
757      python                                   1           
758      get                                      1           
759      giang                                    1           
760      student                                  1           
761      phase                                    1           
762      fig                                      1           
763      hsu                                      1           
764      constitute                               1           
765      itself                                   1           
766      believe                                  1           
767      short                                    1           
768      csizmadia                                1           
769      bundy                                    1           
770      reflect                                  1           
771      effectivel                               1           
772      base                                     1           
773      ching                                    1           
774      rose                                     1           
775      variablesand                             1           
776      falloon                                  1           
777      ctt                                      1           
778      makin                                    1           
779      came                                     1           
780      kersh                                    1           
781      media                                    1           
782      formula                                  1           
783      summary                                  1           
784      let                                      1           
785      yi                                       1           
786      zhen                                     1           
787      zhou                                     1           
788      columbia                                 1           
789      style                                    1           
790      activi                                   1           
791      hand                                     1           
792      compose                                  1           
793      kim                                      1           
794      chen                                     1           
795      rea                                      1           
796      son                                      1           
797      seen                                     1           
798      ics                                      1           
799      researcher                               1           
800      acm                                      1           
801      bring                                    1           
802      mainstream                               1           
803      plan                                     1           
804      necessitate                              1           
805      aid                                      1           
806      decision                                 1           
807      initial                                  1           
808      aspect                                   1           
809      sense                                    1           
810      done                                     1           
811      always                                   1           
812      clear                                    1           
813      perfect                                  1           
814      fail                                     1           
815      failure                                  1           
816      dig                                      1           
817      want                                     1           
818      told                                     1           
819      tell                                     1           
820      designer                                 1           
821      kale                                     1           
822      yuan                                     1           
823      encompass                                1           
824      participate                              1           
825      handle                                   1           


STEP 3: WORDS REMOVED AFTER STEMMING
--------------------------------------------------------------------------------
Total removed: 946 unique words
Total frequency removed: 3,026

Rank     Original Word                  Stemmed Word                   Frequency   
--------------------------------------------------------------------------------
1        thinking                       think                          294         
2        concepts                       concept                        82          
3        information                    inform                         39          
4        students                       student                        39          
5        involved                       involv                         37          
6        ability                        abil                           37          
7        practices                      practic                        37          
8        defined                        defin                          34          
9        effectively                    effective                      31          
10       involves                       involv                         30          
11       processing                     process                        29          
12       education                      educ                           29          
13       drawing                        draw                           26          
14       generalization                 general                        25          
15       carried                        carr                           23          
16       steps                          step                           21          
17       humans                         human                          19          
18       includes                       includ                         18          
19       cognitive                      cognit                         18          
20       described                      describ                        18          
21       tools                          tool                           17          
22       scientists                     scientist                      17          
23       expressing                     express                        16          
24       grover                         grov                           16          
25       proposed                       propos                         15          
26       elements                       element                        15          
27       simulation                     simul                          15          
28       international                  intern                         13          
29       learning                       learn                          13          
30       resnick                        snick                          13          
31       better                         bett                           13          
32       systematic                     systemat                       13          
33       teachers                       teacher                        12          
34       applicable                     applic                         12          
35       writing                        writ                           11          
36       critical                       crit                           11          
37       digital                        digit                          11          
38       developed                      develop                        10          
39       terms                          term                           10          
40       draws                          draw                           10          
41       contexts                       context                        10          
42       engineering                    engineer                       10          
43       ideas                          idea                           10          
44       considered                     consider                       10          
45       universally                    universal                      10          
46       artifacts                      artifact                       9           
47       association                    associ                         9           
48       logical                        log                            9           
49       researchers                    researcher                     9           
50       defines                        defin                          9           
51       widely                         wide                           9           
52       later                          lat                            9           
53       developing                     develop                        9           
54       specific                       specif                         9           
55       coding                         cod                            8           
56       applied                        appl                           8           
57       definitions                    definition                     8           
58       states                         stat                           8           
59       including                      includ                         8           
60       refers                         refer                          8           
61       related                        relat                          8           
62       possible                       poss                           8           
63       analyzing                      analyz                         8           
64       required                       requir                         8           
65       perspectives                   perspectiv                     8           
66       important                      portant                        8           
67       mental                         ment                           8           
68       approaches                     approach                       8           
69       basic                          bas                            8           
70       further                        furth                          7           
71       strategies                     strateg                        7           
72       describes                      describ                        7           
73       tasks                          task                           7           
74       others                         other                          7           
75       foundation                     found                          7           
76       dimensions                     dimension                      7           
77       global                         glob                           7           
78       solved                         solv                           7           
79       mathematical                   mathemat                       7           
80       development                    develop                        7           
81       define                         fine                           7           
82       working                        work                           7           
83       understood                     derstood                       6           
84       across                         acros                          6           
85       aspects                        aspect                         6           
86       applying                       apply                          6           
87       popularized                    populariz                      6           
88       limited                        limit                          6           
89       educational                    educ                           6           
90       possess                        posses                         6           
91       testing                        test                           6           
92       activities                     activit                        6           
93       focuses                        focus                          6           
94       smaller                        small                          6           
95       reading                        read                           6           
96       arithmetic                     arithmet                       6           
97       enables                        enabl                          6           
98       organizing                     organiz                        6           
99       identifying                    identify                       6           
100      review                         view                           6           
101      attitudes                      attitud                        6           
102      authors                        author                         6           
103      expressed                      express                        6           
104      building                       build                          6           
105      involving                      involv                         6           
106      provided                       provid                         5           
107      national                       nation                         5           
108      combines                       combin                         5           
109      procedural                     procedur                       5           
110      tions                          tion                           5           
111      disciplines                    disciplin                      5           
112      principles                     principl                       5           
113      competencies                   competenc                      5           
114      individuals                    individual                     5           
115      implement                      impl                           5           
116      existing                       exist                          5           
117      measured                       measur                         5           
118      addition                       addi                           5           
119      ordered                        order                          5           
120      resources                      resourc                        5           
121      generally                      general                        5           
122      activity                       activ                          5           
123      children                       childr                         5           
124      conceptualizing                conceptualiz                   5           
125      complements                    complement                     5           
126      perspective                    perspect                       5           
127      eager                          eag                            5           
128      characteristics                characteristic                 5           
129      stated                         stat                           5           
130      allows                         allow                          5           
131      encompasses                    encompass                      5           
132      techniques                     techniqu                       5           
133      formulation                    formul                         5           
134      helps                          help                           5           
135      reasoning                      reason                         5           
136      often                          oft                            5           
137      methods                        method                         5           
138      mathematics                    mathematic                     5           
139      cited                          cit                            4           
140      interest                       inter                          4           
141      systematically                 systematical                   4           
142      denning                        denn                           4           
143      technical                      techn                          4           
144      describe                       scribe                         4           
145      achieving                      achiev                         4           
146      processed                      process                        4           
147      variables                      variabl                        4           
148      prediction                     predic                         4           
149      included                       includ                         4           
150      creativity                     creativ                        4           
151      collaborative                  collaborat                     4           
152      consensus                      consensu                       4           
153      number                         numb                           4           
154      confronts                      confront                       4           
155      intelligence                   telligence                     4           
156      fundamentally                  fundamental                    4           
157      addresses                      address                        4           
158      answers                        answer                         4           
159      questions                      question                       4           
160      social                         soc                            4           
161      ectively                       ective                         4           
162      presented                      present                        4           
163      levels                         level                          4           
164      consisting                     consist                        4           
165      coined                         coin                           4           
166      manageable                     manage                         4           
167      essential                      essent                         4           
168      seminal                        semin                          4           
169      believed                       believ                         4           
170      situations                     situation                      4           
171      defining                       defin                          4           
172      resulting                      result                         4           
173      rather                         rath                           4           
174      regarded                       regard                         4           
175      utilizes                       utiliz                         4           
176      components                     component                      4           
177      themselves                     themselv                       4           
178      things                         thing                          4           
179      scores                         scor                           4           
180      builders                       builder                        3           
181      virtual                        virtu                          3           
182      natural                        natur                          3           
183      argued                         argu                           3           
184      kinds                          kind                           3           
185      attention                      atten                          3           
186      years                          year                           3           
187      typically                      typical                        3           
188      results                        result                         3           
189      transferring                   transferr                      3           
190      several                        sever                          3           
191      successfully                   successful                     3           
192      contextualize                  contextual                     3           
193      partially                      partial                        3           
194      completed                      complet                        3           
195      predicting                     predict                        3           
196      statements                     statement                      3           
197      ambiguity                      ambigu                         3           
198      collaboration                  collabor                       3           
199      reusable                       reus                           3           
200      specifically                   specifical                     3           
201      regarding                      regard                         3           
202      shared                         shar                           3           
203      merely                         mere                           3           
204      topics                         topic                          3           
205      viewed                         view                           3           
206      specify                        spec                           3           
207      technological                  technolog                      3           
208      details                        detail                         3           
209      discipline                     cipline                        3           
210      accepted                       accept                         3           
211      notions                        notion                         3           
212      structured                     structur                       3           
213      conditional                    condi                          3           
214      detection                      detec                          3           
215      means                          mean                           3           
216      taking                         tak                            3           
217      introduced                     introduc                       3           
218      published                      publish                        3           
219      efforts                        effort                         3           
220      describing                     describ                        3           
221      instance                       stance                         3           
222      integration                    integr                         3           
223      learners                       learner                        3           
224      originally                     original                       3           
225      suggests                       suggest                        3           
226      habits                         habit                          3           
227      resolution                     resolu                         3           
228      breaking                       break                          3           
229      scholars                       scholar                        3           
230      blocks                         block                          3           
231      identified                     identif                        3           
232      reflects                       reflect                        3           
233      errors                         error                          3           
234      engaging                       engag                          3           
235      studies                        stud                           3           
236      fields                         field                          3           
237      devices                        devic                          3           
238      makes                          mak                            3           
239      massachusetts                  massachusett                   3           
240      dlcs                           dlc                            3           
241      promoted                       promot                         3           
242      issues                         issu                           3           
243      expression                     expres                         3           
244      interpreting                   interpret                      3           
245      hunsaker                       hunsak                         3           
246      identification                 identific                      3           
247      suggested                      suggest                        2           
248      generalisation                 general                        2           
249      united                         unit                           2           
250      indicates                      indicat                        2           
251      recognising                    recognis                       2           
252      surrounds                      surround                       2           
253      applies                        appl                           2           
254      creatively                     creative                       2           
255      modelling                      modell                         2           
256      credited                       credit                         2           
257      community                      commun                         2           
258      daily                          dai                            2           
259      useful                         use                            2           
260      quality                        qual                           2           
261      collection                     collec                         2           
262      easier                         easi                           2           
263      believes                       believ                         2           
264      needs                          need                           2           
265      teaching                       teach                          2           
266      items                          item                           2           
267      participants                   participant                    2           
268      foundational                   found                          2           
269      behaviours                     behaviour                      2           
270      proctored                      proctor                        2           
271      assignment                     assign                         2           
272      leveraging                     leverag                        2           
273      having                         hav                            2           
274      emphasises                     emphasis                       2           
275      comprehensive                  comprehens                     2           
276      constructed                    construct                      2           
277      reusing                        reus                           2           
278      remixing                       remix                          2           
279      connecting                     connect                        2           
280      entails                        entail                         2           
281      comprehending                  comprehend                     2           
282      initially                      initial                        2           
283      conceptualize                  conceptual                     2           
284      decom                          com                            2           
285      position                       posi                           2           
286      character                      charact                        2           
287      mentioned                      mention                        2           
288      spans                          span                           2           
289      opportunities                  opportunit                     2           
290      outlined                       outlin                         2           
291      incremental                    increment                      2           
292      adapted                        adapt                          2           
293      recently                       recent                         2           
294      schools                        school                         2           
295      involve                        volve                          2           
296      broader                        broad                          2           
297      abilities                      abilit                         2           
298      snyder                         snyd                           2           
299      tively                         tive                           2           
300      requires                       requir                         2           
301      industry                       dustry                         2           
302      educators                      educator                       2           
303      transfer                       transf                         2           
304      dealing                        deal                           2           
305      bcomputational                 bcomput                        2           
306      resulted                       result                         2           
307      palts                          palt                           2           
308      inconsistently                 inconsistent                   2           
309      facets                         facet                          2           
310      confusion                      confu                          2           
311      guided                         guid                           2           
312      wings                          wing                           2           
313      followed                       follow                         2           
314      interaction                    interac                        2           
315      potential                      potent                         2           
316      aimed                          aim                            2           
317      response                       sponse                         2           
318      acquisition                    acquisi                        2           
319      stages                         stag                           2           
320      embedding                      embedd                         2           
321      integral                       integr                         2           
322      designers                      designer                       2           
323      public                         publ                           2           
324      services                       servic                         2           
325      operators                      operator                       2           
326      apps                           app                            2           
327      dispositions                   disposition                    2           
328      pathways                       pathway                        2           
329      colleagues                     colleagu                       2           
330      instruction                    instruc                        2           
331      extensive                      extens                         2           
332      gained                         gain                           2           
333      actions                        action                         2           
334      revisited                      revisit                        2           
335      oriented                       orient                         2           
336      broadly                        broad                          2           
337      factors                        factor                         2           
338      recognize                      recogn                         2           
339      thus                           thu                            2           
340      embodies                       embod                          2           
341      thoughts                       thought                        2           
342      challenges                     challeng                       2           
343      languages                      languag                        2           
344      motivation                     motiv                          2           
345      clarified                      clarif                         2           
346      another                        anoth                          2           
347      reformulate                    formulate                      2           
348      focusing                       focus                          2           
349      tional                         tion                           2           
350      initiatives                    initiativ                      2           
351      products                       product                        2           
352      addressing                     address                        2           
353      weber                          web                            2           
354      received                       receiv                         2           
355      seeks                          seek                           2           
356      utilized                       utiliz                         2           
357      chosen                         chos                           2           
358      relation                       rel                            2           
359      universality                   universal                      2           
360      basis                          basi                           2           
361      named                          nam                            2           
362      formulas                       formula                        2           
363      combining                      combin                         2           
364      definitional                   defini                         2           
365      properties                     propert                        2           
366      designed                       design                         2           
367      added                          add                            2           
368      communicated                   communicat                     2           
369      damental                       dament                         2           
370      communications                 communication                  2           
371      replicable                     replic                         2           
372      goes                           goe                            2           
373      department                     depart                         2           
374      lessons                        lesson                         2           
375      impact                         pact                           2           
376      looking                        look                           2           
377      valuation                      valu                           2           
378      production                     produc                         2           
379      training                       train                          2           
380      section                        sec                            2           
381      areas                          area                           2           
382      utilize                        util                           2           
383      consists                       consist                        2           
384      seemingly                      seeming                        2           
385      reduction                      reduc                          2           
386      transformation                 transform                      2           
387      finally                        final                          2           
388      rules                          rul                            2           
389      accordingly                    according                      2           
390      informed                       inform                         2           
391      works                          work                           2           
392      informatics                    informatic                     2           
393      revised                        revis                          2           
394      experts                        expert                         2           
395      differently                    different                      2           
396      discussed                      discuss                        2           
397      university                     univers                        2           
398      courses                        cours                          2           
399      machines                       machin                         2           
400      completion                     comple                         2           
401      taken                          tak                            2           
402      classes                        class                          2           
403      explaining                     explain                        2           
404      recognizing                    recogniz                       2           
405      tems                           tem                            2           
